source_group,source_session,session_id,target_id,sample_id,planned_order_index,timestamp_utc,settle_time_s,settle_start_s,settle_end_s,sample_count,kinematic_model_version,q1_cmd_deg,q2_cmd_deg,q3_cmd_deg,q1_encoder_deg,q2_encoder_deg,q3_encoder_deg,p_target_x_mm,p_target_y_mm,p_target_z_mm,p_vive_x_mm,p_vive_y_mm,p_vive_z_mm,p_tracker_relative_x_mm,p_tracker_relative_y_mm,p_tracker_relative_z_mm,target_label_residual_x_mm,target_label_residual_y_mm,target_label_residual_z_mm,target_label_residual_norm_mm,quality_flags,tracker_valid_ratio,label_window_std_mm,label_window_max_span_mm,label_sample_count,synthetic_label
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000001,2000001,2000001,2026-05-25T14:01:52.856187+00:00,,,,8,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,-2.802,27.053,46.447,74.5048230807702,107.16293044458891,113.0223758376969,-176.4084128280854,-15.837591448111272,328.20829945062525,-161.66839930996704,-21.71287948264353,344.9971376870917,424.5328594337207,-373.10594048585443,260.7062910335951,14.74001351811836,-5.875288034532257,16.78883823646646,23.100911179719038,synthetic_nonlinear_interp,0.9999999999999998,2.586420947192424,7.448768053793089,8,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000002,2000002,2000002,2026-05-25T14:01:52.857187+00:00,,,,8,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,-18.663,11.274,57.798,59.039296166611074,91.25429520897083,124.25642816419133,-153.57698431650934,-117.0084354624068,245.45634611997843,-158.8637920198287,-132.53301866299466,220.3645122621906,560.3312466393726,-276.32415710906906,256.9188342271266,-5.286807703319369,-15.52458320058787,-25.091833857787833,29.976042860769333,synthetic_nonlinear_interp,0.9999999999999999,1.8786918400111527,5.037718452389675,8,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000003,2000003,2000003,2026-05-25T14:01:52.858187+00:00,,,,8,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,-16.665,17.188,69.726,60.67794153003867,97.08905524685301,136.23351419543565,-215.12109111495135,-85.27811717588332,288.3623620510898,-205.45479534710805,-109.58782133497982,236.85595380527622,553.4940401968888,-316.9854710927486,221.29466449902492,9.666295767843309,-24.309704159096498,-51.50640824581359,57.76944763937624,synthetic_nonlinear_interp,1.0,1.1827476781038464,3.185883867598952,8,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000004,2000004,2000004,2026-05-25T14:01:52.859187+00:00,,,,7,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,8.148,15.63,34.744,85.19923879837015,95.75961256272433,101.35323716591104,-87.74286075329762,59.02528896172666,234.87201026538267,-84.22645654587325,74.94879171258748,281.3867669757127,332.9762770050838,-272.29783684953657,231.68679940109394,3.5164042074243724,15.92350275086082,46.51475671033003,49.290421282718384,synthetic_nonlinear_interp,1.0,2.7689351045267085,7.807694543823723,7,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000005,2000005,2000005,2026-05-25T14:01:52.860187+00:00,,,,7,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,13.088,-8.93,44.6,90.87078741684051,70.98622147003341,111.21944990837532,-53.077723894936426,103.90340427534302,70.05488719556605,-65.85172034369029,86.05013019598425,75.99374011302623,385.81691998098034,-97.9250027193388,134.48007485111535,-12.773996448753863,-17.85327407935877,5.938852917460181,22.741687593507773,synthetic_nonlinear_interp,1.0,2.4109840708449237,6.676995900876286,7,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000006,2000006,2000006,2026-05-25T14:01:52.861187+00:00,,,,7,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,0.875,-7.852,58.206,78.50800251410645,71.50184167514877,124.95000925368662,-75.25377838785147,6.487071864642717,113.0158403550662,-104.65183803639334,-0.1808072442120192,104.46067173150584,465.141107859824,-147.00388134873592,166.8919058761695,-29.398059648541874,-6.667879108854736,-8.555168623560363,31.33524266839303,synthetic_nonlinear_interp,1.0,1.7289972109731095,4.740812228314995,7,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000007,2000007,2000007,2026-05-25T14:01:52.862187+00:00,,,,8,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,9.574,-16.863,66.301,86.9812834227423,62.62820973715583,133.08486512124446,-88.65585366571361,69.38166737984403,64.91527509167496,-140.7669102374494,37.09343450011795,45.309818991853085,467.55282002481795,-120.84557899137648,92.71362212853539,-52.11105657173579,-32.28823287972608,-19.605456099821872,64.36199273173659,synthetic_nonlinear_interp,0.9999999999999999,1.454602321589949,3.9706161949392165,8,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000008,2000008,2000008,2026-05-25T14:01:52.863187+00:00,,,,7,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,-1.614,-8.953,58.741,76.02524567135461,70.4046020583876,125.51825889511751,-74.70037102532207,-11.98369640054438,106.04490338945273,-106.48761305868669,-15.962782151620445,95.76186188857542,482.2955517066496,-141.7557612378946,169.4003687924392,-31.78724203336462,-3.979085751076065,-10.283041500877303,33.645249620278996,synthetic_nonlinear_interp,0.9999999999999999,1.692015609607912,4.587888274665213,7,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000009,2000009,2000009,2026-05-25T14:01:52.864187+00:00,,,,7,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,1.964,27.592,35.154,79.33245727878128,107.80332424225551,101.6147469709622,-142.7423181178516,12.250972703737052,316.7487227104827,-130.02700482818943,22.457764561386682,361.2408922945914,368.82445139094625,-365.23935056962296,267.83182541314494,12.715313289662163,10.20679185764963,44.492169584108694,47.38576733979021,synthetic_nonlinear_interp,0.9999999999999999,3.0472443898808934,8.603335185765552,7,True
2link_test-260525-1,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,SYNRAW000010,2000010,2000010,2026-05-25T14:01:52.865187+00:00,,,,8,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,-15.298,0.909,39.985,62.100096849863235,80.68343971256,106.74412380947344,-64.83899506812696,-119.03025305842161,135.6916446789183,-64.21669473740705,-120.97256081525279,146.56244737115793,538.1642064325786,-159.82276130940997,278.702063946784,0.6223003307199093,-1.942307756831184,10.870802692239636,11.060477760814186,synthetic_nonlinear_interp,1.0,2.1185494841052916,5.9314524274939835,8,True
